,name,date,code,market_name,market_key,v_kobo,kessan,p_kari,p_uri,bb,koutou,content
0,リキッドオーディオ・ジャパン,1999/12/22,4740,マザーズ,日興ソロモン・スミス・バーニー証券,1000,6,"1,800,000円 - 1,800,000円",3000000,1999/12/08 - 1999/12/13,+103.33,インターネット及びコンピュータを利用した音楽の配信システムの開発及び販売
1,インターネット総合研究所,1999/12/22,4741,マザーズ,野村證券,1000,6,"4,000,000円 - 4,000,000円",11700000,1999/12/06 - 1999/12/09,+352.99,インターネットシステム開発
2,なか卯,1999/12/20,7627,ＪＱ,日興ソロモン・スミス・バーニー証券,770000,3,700円 - 700円,900,1999/12/03 - 1999/12/08,+11.11,直営店・フランチャイズ･システムによる牛丼・親子丼・うどんを中心とした飲食物の販売
3,SEED(シード）,1999/12/17,1739,大証新,いちよし証券,700,3,1999/11/29,500000,1999/12/01 - 1999/12/06,+20.00,建築工事の設計、施工及び管理並びに不動産の売買、賃貸、仲介
4,東急リバブル,1999/12/17,8879,東証２部,野村證券,3350000,3,680円 - 680円,720,1999/12/02 - 1999/12/07,-20.83,不動産仲介業、不動産販売受託業
5,ビーアイジーグループ,1999/12/17,9439,ＪＱ,大和証券エスビー,1000,6,"3,700,000円 - 3,700,000円",4300000,1999/11/30 - 1999/12/06,+713.95,移動体通信サービスの加入契約取次代理店事業及び、移動体通信端末の販売等
6,コーセー,1999/12/16,4922,ＪＱ,野村證券,6000000,3,"4,000円 - 4,000円",4500,1999/11/29 - 1999/12/03,-8.88,化粧品の製造・販売
7,石井表記,1999/12/16,6336,広島証,国際証券,900000,1,"1,500円 - 1,500円",2000,1999/12/01 - 1999/12/06,+60.00,プリント基板製造装置及び電子制御機器関連部品等の製造・販売
8,サミー,1999/12/16,6426,ＪＱ,大和証券エスビー,2000000,3,"5,000円 - 5,000円",6000,1999/11/29 - 1999/12/03,-5.00,パチスロ、パチンコ遊戯機の製造販売及び、アミューズメント機器等の製造販売
9,ドッドウェルビー･エム・エス,1999/12/15,7626,ＪＱ,大和証券エスビー,800000,6,"1,600円 - 1,600円",2000,1999/11/29 - 1999/12/03,+80.00,コンピュータシステム及び情報関連機器、メーリングシステム機器、カードシステム機器の販売及び保守サービス
10,スターフューチャーズ証券,1999/12/15,8741,福岡証,日興ソロモン・スミス・バーニー証券,500000,3,"1,000円 - 1,000円",1200,1999/11/29 - 1999/12/02,0,商品市場における取引の受託を行う業務及び、取引を行う業務
11,極東工業,1999/12/14,1740,広島証,野村證券,1500000,3,450円 - 450円,500,1999/11/26 - 1999/12/01,+3.00,プレストレストコンクリート橋梁工事等の建設工事並びに土木工事の請負等
12,伊藤忠テクノサイエンス,1999/12/14,4739,東証１部,日興ソロモン・スミス・バーニー証券,5000000,3,"19,000円 - 19,000円",22000,1999/11/29 - 1999/12/03,+152.72,コンピュータ・ネットワークシステムの販売、ソフトウェア開発及び保守
13,内藤,1999/12/14,7624,ＪＱ,日興ソロモン・スミス・バーニー証券,1000000,3,"1,350円 - 1,350円",1600,1999/11/30 - 1999/12/03,-6.25,機械工具･機会機具商品等の卸売販売
14,サンオータス,1999/12/10,7623,ＪＱ,日興ソロモン・スミス・バーニー証券,700000,4,"1,000円 - 1,000円",1200,1999/11/25 - 1999/12/01,-16.66,ガソリンスタンドの経営を中心とした、自動車販売、自動車整備、カー用品販売等の自動車に係る「トータルカーサービス」の展開
15,シダックス・コミュニティー,1999/12/08,4737,ＪＱ,日興ソロモン・スミス・バーニー証券,3000000,3,"3,200円 - 3,200円",4000,1999/11/24 - 1999/11/29,0,レストランカラオケの全国チェーン経営
16,グローバルダイニング,1999/12/07,7625,東証２部,日興ソロモン・スミス・バーニー証券,1350000,12,"4,000,000円 - 4,000,000円",4800,1999/11/22 - 1999/11/26,+111.04,都内を中心に店舗を展開する外食産業
17,デンカ生研,1999/12/03,4561,ＪＱ,日興ソロモン・スミス・バーニー証券,900000,3,"1,800円 - 1,800円",2200,1999/11/18 - 1999/11/24,+59.09,ワクチン・検査試薬の製造及び販売
18,日立ビジネスソリューション,1999/12/03,4738,東証２部,野村證券,6000000,3,"2,400円 - 2,400円",2700,1999/11/15 - 1999/11/19,+66.66,ソフトウェア開発・システム構築によるソリューションの提供、ハードウェアの販売及び付帯するサービスの提供
19,ビー・エム・エル,1999/11/30,4694,ＪＱ,日興ソロモン・スミス・バーニー証券,2400000,3,"3,300円 - 3,300円",3700,1999/11/15 - 1999/11/18,0,臨床検査の受託業務
20,京写,1999/11/30,6837,ＪＱ,大和証券エスビー,1300000,3,"1,100円 - 1,100円",1300,1999/11/10 - 1999/11/16,+50.76,プリント配線板及び関連製品の製造･販売
